
--- CSV DUMP START ---
time_s,dt_s,ax_g,ay_g,az_g,roll_acc_deg
1.637000,0.008000,-0.083374,0.011108,0.999146,-0.634776
1.645000,0.008000,-0.083374,0.010498,1.000610,-0.599029
1.654000,0.009000,-0.082520,0.010620,1.000610,-0.606037
1.662000,0.008000,-0.082642,0.011353,1.000488,-0.647901
1.671000,0.009000,-0.083496,0.011841,1.000488,-0.675717
1.679000,0.008000,-0.083130,0.010376,1.000488,-0.592148
1.688000,0.009000,-0.083496,0.011963,1.000488,-0.682683
1.696000,0.008000,-0.081543,0.010620,1.000488,-0.606158
1.705000,0.009000,-0.083130,0.011475,1.000488,-0.654841
1.713000,0.008000,-0.083130,0.011230,1.000244,-0.641064
1.722000,0.009000,-0.083618,0.010864,0.999756,-0.620437
1.730000,0.008000,-0.083008,0.011475,1.000366,-0.654927
1.738000,0.008000,-0.083618,0.011475,1.000244,-0.654973
1.747000,0.009000,-0.084351,0.010864,0.999023,-0.620851
1.755000,0.008000,-0.082642,0.010742,1.000122,-0.613293
1.764000,0.009000,-0.082642,0.010864,0.999512,-0.620638
1.772000,0.008000,-0.083130,0.011719,1.000366,-0.668853
1.781000,0.009000,-0.083008,0.011230,1.000000,-0.641226
1.789000,0.008000,-0.083496,0.010742,1.000488,-0.613027
1.798000,0.009000,-0.082886,0.011108,1.000366,-0.634033
1.806000,0.008000,-0.083130,0.011353,1.000488,-0.647875
1.815000,0.009000,-0.082031,0.011353,1.000488,-0.647933
1.823000,0.008000,-0.083252,0.010986,1.000488,-0.626971
1.831000,0.008000,-0.082886,0.011475,1.000488,-0.654854
1.840000,0.009000,-0.083008,0.011230,1.000244,-0.641071
1.848000,0.008000,-0.083252,0.010742,1.000488,-0.613039
1.857000,0.009000,-0.082397,0.011475,1.000488,-0.654880
1.865000,0.008000,-0.082520,0.011353,1.000366,-0.647986
1.874000,0.009000,-0.083130,0.010864,1.000488,-0.620011
1.882000,0.008000,-0.083252,0.011108,1.000122,-0.634167
1.891000,0.009000,-0.082886,0.011353,1.000488,-0.647888
1.899000,0.008000,-0.082520,0.011353,0.999634,-0.648457
1.908000,0.009000,-0.082642,0.010620,0.999146,-0.606913
1.916000,0.008000,-0.082520,0.010864,1.000488,-0.620043
1.925000,0.009000,-0.082397,0.011597,1.000488,-0.661846
1.933000,0.008000,-0.083008,0.010864,0.999634,-0.620544
1.941000,0.008000,-0.082886,0.011475,1.000366,-0.654933
1.950000,0.009000,-0.082520,0.011353,1.000244,-0.648064
1.958000,0.008000,-0.083374,0.011230,1.000488,-0.640896
1.967000,0.009000,-0.083374,0.010986,1.000366,-0.627041
1.975000,0.008000,-0.082397,0.011353,0.999634,-0.648464
1.984000,0.009000,-0.083008,0.011353,1.000610,-0.647803
1.992000,0.008000,-0.083496,0.011841,1.000488,-0.675717
2.001000,0.009000,-0.082397,0.011963,1.000122,-0.682993
2.009000,0.008000,-0.083008,0.011230,1.000000,-0.641226
