
--- CSV DUMP START ---
time_s,dt_s,omega_meas_deg_s,omega_corr_deg_s,roll_biased_deg,roll_unbiased_deg
24.874001,0.008000,1.770020,-0.057647,12.980741,-0.197188
24.882002,0.008000,1.892090,0.064424,12.995877,-0.196673
24.891001,0.009000,1.892090,0.064424,13.012906,-0.196093
24.899002,0.008000,1.831055,0.003389,13.027555,-0.196066
24.908001,0.009000,1.831055,0.003389,13.044034,-0.196035
24.916000,0.008000,1.831055,0.003389,13.058682,-0.196008
24.925001,0.009000,1.892090,0.064424,13.075711,-0.195428
24.933001,0.008000,1.831055,0.003389,13.090360,-0.195401
24.942001,0.009000,1.708984,-0.118682,13.105741,-0.196469
24.950001,0.008000,1.770020,-0.057647,13.119901,-0.196930
25.077002,0.127028,1.708984,-0.118682,13.336989,-0.212006
25.085001,0.007972,1.770020,-0.057647,13.351100,-0.212466
25.094002,0.009000,1.708984,-0.118682,13.366481,-0.213534
25.102001,0.008000,1.831055,0.003389,13.381129,-0.213507
25.111002,0.009000,1.831055,0.003389,13.397609,-0.213476
25.119001,0.008000,1.708984,-0.118682,13.411281,-0.214426
25.128000,0.009000,1.708984,-0.118682,13.426661,-0.215494
25.136002,0.008000,1.831055,0.003389,13.441310,-0.215467
25.145000,0.009000,1.770020,-0.057647,13.457240,-0.215986
25.153002,0.008000,1.708984,-0.118682,13.470912,-0.216935
25.162001,0.009000,1.647949,-0.179717,13.485744,-0.218553
25.170002,0.008000,1.892090,0.064424,13.500880,-0.218037
25.178001,0.008000,1.770020,-0.057647,13.515040,-0.218498
25.187000,0.009000,1.831055,0.003389,13.531520,-0.218468
25.195002,0.008000,1.770020,-0.057647,13.545680,-0.218929
25.204000,0.009000,1.770020,-0.057647,13.561610,-0.219448
25.212002,0.008000,1.831055,0.003389,13.576259,-0.219421
25.221001,0.009000,1.770020,-0.057647,13.592189,-0.219940
25.229002,0.008000,1.770020,-0.057647,13.606349,-0.220401
25.238001,0.009000,1.708984,-0.118682,13.621730,-0.221469
25.246000,0.008000,1.647949,-0.179717,13.634913,-0.222907
25.255001,0.009000,1.770020,-0.057647,13.650844,-0.223425
25.263000,0.008000,1.708984,-0.118682,13.664515,-0.224375
25.271002,0.008000,1.770020,-0.057647,13.678676,-0.224836
25.280001,0.009000,1.770020,-0.057647,13.694606,-0.225355
25.288002,0.008000,1.770020,-0.057647,13.708766,-0.225816
25.297001,0.009000,1.770020,-0.057647,13.724696,-0.226335
25.305000,0.008000,1.708984,-0.118682,13.738368,-0.227284
25.314001,0.009000,1.831055,0.003389,13.754848,-0.227254
25.322001,0.008000,1.831055,0.003389,13.769496,-0.227227
25.331001,0.009000,1.708984,-0.118682,13.784877,-0.228295
25.339001,0.008000,1.770020,-0.057647,13.799037,-0.228756
25.348001,0.009000,1.770020,-0.057647,13.814967,-0.229275
25.356001,0.008000,1.831055,0.003389,13.829616,-0.229248
25.364000,0.008000,1.770020,-0.057647,13.843776,-0.229709
25.373001,0.009000,1.831055,0.003389,13.860255,-0.229678
25.381001,0.008000,1.831055,0.003389,13.874904,-0.229651
25.390001,0.009000,1.892090,0.064424,13.891932,-0.229071
25.398001,0.008000,1.831055,0.003389,13.906581,-0.229044
25.407001,0.009000,1.831055,0.003389,13.923060,-0.229014
25.415001,0.008000,1.892090,0.064424,13.938197,-0.228499
25.424002,0.009000,1.770020,-0.057647,13.954127,-0.229017
25.432001,0.008000,1.647949,-0.179717,13.967311,-0.230455
25.441002,0.009000,1.708984,-0.118682,13.982692,-0.231523
25.449001,0.008000,1.831055,0.003389,13.997340,-0.231496
25.457001,0.008000,1.770020,-0.057647,14.011500,-0.231957
25.466002,0.009000,1.770020,-0.057647,14.027431,-0.232476
25.474001,0.008000,1.708984,-0.118682,14.041102,-0.233426
25.483002,0.009000,1.647949,-0.179717,14.055934,-0.235043
25.491001,0.008000,1.770020,-0.057647,14.070094,-0.235504
25.778002,0.287024,1.770020,-0.057647,14.578133,-0.252050
25.787001,0.008976,1.647949,-0.179717,14.592925,-0.253663
25.796001,0.009000,1.770020,-0.057647,14.608855,-0.254182
